provider_id;employee_id;provider_name;debt;provider_phone;provider_email;provider_city;provider_country
Pr7670;1760;Fernandez-Brown;38211;588-219-59;timothyortiz@example.net;Patrickport;Honduras
Pr7893;2700;Davis and Sons;40445;384-293-83;heathersimpson@example.org;West Janetown;Bouvet Island (Bouvetoya)
Pr8017;3998;Malone- Evans and House;48818;464-846-85;samanthaingram@example.com;Millerburgh;El Salvador
Pr8030;3279;Smith Inc;43287;477-499-31;pluna@example.net;Armstrongbury;Swaziland
Pr7793;876;Adams-Nguyen;36951;763-372-95;obishop@example.org;Hobbsfurt;Morocco
Pr7190;1264;Mckinney Inc;23045;210-296-13;ashley97@example.com;Luceroport;Egypt
Pr7587;920;Clay LLC;26344;758-895-34;mjohnson@example.net;West Michael;Iraq
Pr7024;4208;Park- Swanson and Jones;47826;956-514-93;nelsonhannah@example.org;South Cathyhaven;Bangladesh
Pr8003;3460;Lawrence- Baker and Sutton;35466;822-632-48;nicholscharles@example.org;East Matthewhaven;Reunion
Pr7846;2281;Beck- Jones and Lopez;31506;578-026-28;sanchezvictor@example.com;New Keithburgh;Algeria
Pr8022;1889;Hanson Ltd;30632;101-801-58;cookmichael@example.com;Port Patriciashire;Kyrgyz Republic
Pr7352;2478;Williamson-Lowe;40583;216-239-43;bedwards@example.org;Collinsview;Dominica
Pr7485;4091;Bullock LLC;42029;589-779-13;hansonanthony@example.com;Matthewside;Netherlands Antilles
Pr7212;2007;Ford-Adams;16630;495-149-99;casesandy@example.net;Snyderburgh;Mongolia
Pr7589;2799;Patel-Koch;36335;670-719-71;amandawillis@example.net;Lake Caitlinmouth;Gabon
Pr7066;4003;Miller-Boone;26183;227-299-79;shawncampbell@example.net;Millsside;Holy See (Vatican City State)
Pr7732;2393;Moore-Evans;34744;668-240-95;hernandezsean@example.net;Jacquelineport;Macao
Pr7096;2274;Calhoun-Moore;40394;827-144-50;williamwebb@example.com;South Elizabethfurt;Poland
Pr7598;1402;Torres- Washington and Graves;47449;630-610-70;benjaminowens@example.org;Webbstad;Malaysia
Pr7026;3227;Glover- Holloway and Page;22966;457-429-10;kenneth17@example.org;Ramirezstad;Czech Republic
Pr7022;1197;Little- Edwards and Baldwin;49943;395-255-17;robinsonjohn@example.org;Lake Ashley;Tokelau
Pr7434;1380;Williams- Jones and Porter;38084;219-615-23;joneskatherine@example.com;South Joseview;Qatar
Pr7582;4466;Horn Ltd;18130;809-471-43;hvelasquez@example.net;Clarkefort;North Macedonia
Pr7843;3387;Walters- Schultz and Ponce;27690;186-534-82;sara72@example.net;Jennifershire;Saint Helena
Pr7910;1271;Crawford LLC;39584;122-996-46;jennifer34@example.net;Port Barryland;Nigeria
Pr7589;4366;Thompson-Rogers;21104;332-557-77;amanda35@example.net;Calhounshire;Comoros
Pr7497;1592;Bell-Brown;28263;169-974-59;dboyer@example.org;Garciaport;Liberia
Pr7685;1596;Henry Inc;25133;349-646-60;smithpaul@example.org;Brownshire;Cape Verde
Pr7650;1533;Stewart- Gilbert and Rodriguez;34685;460-749-43;john12@example.net;Evansland;Georgia
Pr7780;1702;Erickson-Martin;41958;204-595-90;kgutierrez@example.org;Baileyhaven;Suriname
Pr7149;1596;Hill PLC;32919;504-591-19;jose43@example.net;Port Shannon;Afghanistan
Pr7394;918;Mcgee- Robbins and Dunn;38489;172-109-26;zperry@example.net;Kennethport;Portugal
Pr7603;4329;Castro-Sanders;49584;313-623-43;smithryan@example.org;Staceyport;Sao Tome and Principe
Pr7754;3591;Higgins- Kelley and Lam;30417;772-499-36;mark22@example.org;East Amberville;Guyana
Pr7326;3299;Sanders Inc;30754;427-668-39;tramirez@example.com;Christophertown;Iran
Pr7870;3611;Bryant- Bowman and Perez;35453;927-204-85;paulaharmon@example.com;West Shellyside;Italy
